,ADM1_EN,ADM2_EN,ADM3_EN,ADM3_X,ADM3_Y
0,Babil,Al-Hilla,Abi Gharaq,44.34449328051919,32.47671266091274
1,Salah Al-Din,Al-Daur,Abu Dalf,44.03895407633972,34.52469429519946
2,Baghdad,Al-Kadhmiyah,Abu Ghraib,44.096626379891234,33.29481054465064
3,Al-Sulaymaniyah,Chamchamal,Agjalare,44.820519287613905,35.75800862412325
4,Thi Qar,Suq Al-Shoyokh,Akaika,46.468695089642324,30.979537303374354
5,Kirkuk,Al-Hawiga,Al-Abbasi,43.584915434068044,35.23331552616162
6,Maysan,Al-Mejar Al-Kabir,Al-Adel,47.122874809745475,31.423414171939232
7,Wassit,Al-Namaniya,Al-Ahrar,45.63076669559925,32.36513609930168
8,Salah Al-Din,Tikrit,Al-Alam,43.795985546576084,34.80818559335694
9,Al-Anbar,Al-Falluja,Al-Amirya,43.80088504438201,33.004391582153566
10,Diyala,Al-Khalis,Al-Atheem,44.5841931910952,34.266974781112296
11,Ninewa,Telafar,Al-Ayadiya,42.39308517815263,36.52128283509104
12,Maysan,Al-Mejar Al-Kabir,Al-Aziz,47.45532595510006,31.396530852573886
13,Wassit,Al-Suwaira,Al-Aziziya,45.1781227628887,32.94182895316951
14,Al-Anbar,Heet,Al-Baghdady,42.51712037338123,33.93574735195421
15,Al-Basrah,Al-Faw,Al-Bahhar,48.19144704594911,30.10647925888057
16,Wassit,Al-Hai,Al-Bashaer,46.09814677267098,32.165558979407486
17,Thi Qar,Al-Nasiriya,Al-Battha'a,45.9226928350238,31.078686029202714
18,Al-Qadissiya,Afaq,Al-Bdair,45.50698623663411,31.86321651861783
19,Al-Qadissiya,Al-Diwaniya,Al-Daghara,44.89763964613693,32.15488560801586
20,Al-Basrah,Al-Qurna,Al-Dair,47.384310306206494,30.768197212602633
21,Thi Qar,Al-Shatra,Al-Dawaya,46.420676762617376,31.47178070547394
22,Salah Al-Din,Balad,Al-Dujeel,43.940877763171045,33.79459573290205
23,Salah Al-Din,Balad,Al-Duloeyah,44.25513021938067,34.09500377830619
24,Duhok,Duhok,Al-Duski,43.03623238930927,37.03288733164019
25,Babil,Al-Mahaweel,Al-Emam,44.59486366950843,32.610252388213674
26,Salah Al-Din,Balad,Al-Esshaqi,43.65140090049048,33.948335091338414
27,Thi Qar,Suq Al-Shoyokh,Al-Fadhliya,46.40153185225146,30.809576890436983
28,Baghdad,Al-Adhamiya,Al-Fahama,44.38007599823562,33.44498914159717
